	sum 	deprecate?	flag for upgrade?	comments
NLopt/2.4.2-GCCcore-7.3.0	9754			
NLopt/2.4.2-foss-2016b	21			
Nim/0.18.0	0			
OCaml/4.02.3-foss-2016a	0			
OpenBLAS/0.2.15-GCC-4.9.3-2.25-LAPACK-3.6.0	6243			
OpenBLAS/0.2.18-GCC-5.4.0-2.26-LAPACK-3.6.1	126760			
OpenBLAS/0.2.20-GCC-6.4.0-2.28	2			
OpenBLAS/0.3.1-GCC-7.3.0-2.30	25389			
OpenMPI/1.10.2-GCC-4.9.3-2.25	6239			
OpenMPI/1.10.3-GCC-5.4.0-2.26	126763			
OpenMPI/2.1.2-GCC-6.4.0-2.28	5			
OpenMPI/3.1.1-GCC-7.3.0-2.30	25766			
OpenPGM/5.2.122-foss-2016b	21070			
PANDAseq/2.11-foss-2016b	0			
PCRE/8.38-foss-2016a	187			
PCRE/8.38-foss-2016b	15718			
PCRE/8.39-foss-2016b	13084			
PCRE/8.40-foss-2016b	12956			
PCRE/8.41-GCCcore-7.3.0	9822			
PEAR/0.9.11-foss-2018b	94			
PEAR/0.9.8-foss-2016a	1			
PLINK/1.07-foss-2016a	3			
PLINK/1.90-beta4.4	2160			
POLYSOLVER/v4	6			
PROJ/4.9.2-foss-2016a	172			
PROJ/4.9.2-foss-2016b	13485			
PROJ/4.9.3-foss-2016b	0			
PROJ/5.0.0-foss-2018b	9760			
Pairfq/0.17.0-GCCcore-7.3.0-Perl-5.28.0	1			
Perl/5.16.3-foss-2016a	24			
Perl/5.16.3-foss-2016a-update-1	3			
Perl/5.22.1-foss-2016a	1141			
Perl/5.22.1-foss-2016b	63986			
Perl/5.24.0-foss-2016b	1467			
Perl/5.24.1-foss-2016a	23			
Perl/5.24.1-foss-2016b	89			
Perl/5.26.1-foss-2018a	1			
Perl/5.28.0-GCCcore-7.3.0	1197			
PhyML/3.3.20180214-foss-2016b	0			
PhyloBayes-MPI/20180405-foss-2016b	5			
PhyloCSF/20150118-foss-2016a-OCaml-4.02.3	0			
PhyloWGS/smchet5-foss-2016b-Python-2.7.13	0			
Pilon/1.23	12			
Pindel/0.2.5b9-20170508-foss-2018b	0			
Pisces/5.2.10.49	1			
Pisces/5.2.9.122	0			
PostgreSQL/9.6.1-foss-2016b	7286			
Primer3/2.3.7-foss-2016b	0			
