	sum 	toolchain	unused	deprecate?	flag for upgrade, then deprecate?	flag for upgrade only	hide only	comments
MATLAB/2017b	1895	system						
MATLAB/2018b	7608	2018b						
MATLAB/2019a	53443	system						
MATLAB/2019a-parallel	121	system						
MATLAB/2019b	1976	system						
MATLAB/2020a	4984	system						
METIS/5.1.0-GCCcore-6.4.0	627	2018a						
METIS/5.1.0-GCCcore-7.3.0	3421	2018b						
MODFLOW-2005/1.12-GCCcore-5.4.0	0	2016b	Y	Y				
MODFLOW-2005/1.12-GCCcore-6.4.0	0	2018a	Y	Y				
MODFLOW-2005/1.12-GCCcore-7.3.0	1	2018b	Y					
MODFLOW-NWT/1.1.4-GCCcore-7.3.0	0	2018b	Y	Y				
MODFPATH/7.2.001-GCCcore-7.3.0	0	2018b	Y	Y				
MODPATH/7.2.001-GCCcore-7.3.0	0	2018b	Y	Y				
MPAS-A/7.0-iomkl-2018a	0	2018a	Y	Y				
MPB/1.8.0-foss-2018a	73642	2018a			Y?			who is using this?
MPFR/4.0.1-GCCcore-6.4.0	98198	2018a		Y				who is using this?
MPFR/4.0.1-GCCcore-7.3.0	1508	2018b						
MPSolve/3.1.7-GCCcore-6.4.0	80887	2018a			Y			who is using this?
MRtrix3/3.0_RC3-foss-2018a	10	2018a		Y				
MUMPS/5.2.1-foss-2018b-metis	3390	2018b						
Macaulay2/1.11	0	system	Y	Y				
Mako/1.0.4-foss-2016b-Python-2.7.12	0	2016b	Y	Y				
Mako/1.0.7-foss-2018a-Python-2.7.14	242	2018a			Y			who is using this?
Mako/1.0.7-foss-2018b-Python-3.6.6	0	2018b	Y	Y				
Mathematica/11.3.0	201	system						
Mathematica/12.0.0	37310	system						
Mathematica/12.1.0	595	system						
Mathematica/12.1.1	61587	system						
Maven/3.3.9	1	system	Y	Y				
Meep/1.7.0-foss-2018a	73698	2018a			Y			who is using this?
Mercurial/4.9-foss-2018a-Python-2.7.14	0	2018a	Y	Y				
Mesa/12.0.2-foss-2016b	12	2016b		Y				
Mesa/17.3.6-foss-2018a	41775	2018a		Y				who is using this?
Mesa/18.1.1-foss-2018b	2363	2018b						
MicroMagic/161031	0	system	Y	Y				
MotionCor2/1.2.2-fosscuda-2018b	0	2018b	Y	Y				
MrBayes/3.2.6-foss-2016b	163	2016b			Y			
NAG/26-GCCcore-6.4.0	1	2018a	Y	Y				
NAMD/2.13-GCC-7.3.0-2.30-OpenMPI-3.1.1	623	2018b						
NAMD/2.13-ibverbs	226	system						
NAMD/2.13-ibverbs-smp	15	system						
NAMD/2.13-multicore	1088	system						
NAMD/2.13-multicore-CUDA	31	system						
NASM/2.11.08-GCCcore-5.4.0	652	2016b		Y				
NASM/2.12.02-foss-2016b	12	2016b		Y				
NASM/2.13.03-GCCcore-6.4.0	79909	2018a		Y				who is using this?
NASM/2.13.03-GCCcore-7.3.0	4885	2018b						
NBO/6.0	79	system						
NCL/6.6.2	298	system						
NCO/4.7.6-iomkl-2018a	46	2018a		Y				
NCO/4.8.1-iomkl-2018a	432	2018a			Y			
NEdit/5.5-Linux-x86	261	system						
NGSpice/31-gompi-2018b	0	2018b	Y	Y				
NLopt/2.4.2-GCCcore-7.3.0	947	2018b						
NLopt/2.6.1-GCCcore-7.3.0	8	2018b	Y	Y				
NSPR/4.20-GCCcore-6.4.0	657	2018a		Y				
NSPR/4.20-GCCcore-7.3.0	1416	2018b						
NSS/3.39-GCCcore-6.4.0	657	2018a		Y				
NSS/3.39-GCCcore-7.3.0	1415	2018b						
Ninja/1.8.2-foss-2018a	1	2018a	Y	Y				
OCaml/4.07.1-foss-2018b	2	2018b	Y	Y				
ORCA/4.1.2-OpenMPI-2.1.2	657	system						
ORCA/4.2.1-OpenMPI-2.1.2	1252	system						
Octave/4.2.1-foss-2016b	0	2016b	Y	Y				
Octave/4.2.1-foss-2018a	626	2018a			Y			
OpenBLAS/0.2.18-GCC-5.4.0-2.26-LAPACK-3.6.1	5228	2016b		Y				who is using this?
OpenBLAS/0.2.20-GCC-6.4.0-2.28	258635	2018a						
OpenBLAS/0.3.1-GCC-7.3.0-2.30	93473	2018b						
OpenBabel/2.4.1-foss-2018a-Python-2.7.14	374	2018a						
OpenJPEG/2.3.0-GCCcore-7.3.0	0	2018b	Y	Y				
